,almacenamiento,temp,humidity,precip,preciptype,uvindex,conditions_Clear,conditions_Overcast,conditions_Partially cloudy,conditions_Rain,"conditions_Rain, Overcast","conditions_Rain, Partially cloudy",lag1,lag2,lag3,dayofweek,quarter,month,year,dayofyear,dayofmonth,weekofyear,isfuture,pred
2023-06-26,,,,,,,,,,,,,483.11,920.48,1847.39,0,2,6,2023,177,26,26,True,1052.1335
2023-06-27,,,,,,,,,,,,,482.01,919.66,1861.0,1,2,6,2023,178,27,26,True,1052.1335
2023-06-28,,,,,,,,,,,,,480.97,920.48,1871.89,2,2,6,2023,179,28,26,True,1064.1737
2023-06-29,,,,,,,,,,,,,480.45,920.48,1882.79,3,2,6,2023,180,29,26,True,1064.1737
2023-06-30,,,,,,,,,,,,,478.9,919.66,1896.77,4,2,6,2023,181,30,26,True,1064.1737
2023-07-01,,,,,,,,,,,,,477.35,919.66,1910.85,5,3,7,2023,182,1,26,True,1064.1737
2023-07-02,,,,,,,,,,,,,477.35,920.48,1919.29,6,3,7,2023,183,2,26,True,1064.1737
2023-07-03,,,,,,,,,,,,,476.83,920.48,1934.78,0,3,7,2023,184,3,27,True,1071.7888
2023-07-04,,,,,,,,,,,,,476.31,919.66,1950.26,1,3,7,2023,185,4,27,True,1071.7888
2023-07-05,,,,,,,,,,,,,475.75,918.84,1955.89,2,3,7,2023,186,5,27,True,1093.5526
2023-07-06,,,,,,,,,,,,,474.76,918.84,1958.79,3,3,7,2023,187,6,27,True,1108.3114
2023-07-07,,,,,,,,,,,,,473.72,918.84,1960.23,4,3,7,2023,188,7,27,True,1108.3114
2023-07-08,,,,,,,,,,,,,472.17,919.66,1963.13,5,3,7,2023,189,8,27,True,1130.6884
2023-07-09,,,,,,,,,,,,,471.65,920.48,1979.05,6,3,7,2023,190,9,27,True,1135.5833
2023-07-10,,,,,,,,,,,,,471.13,921.3,1990.62,0,3,7,2023,191,10,28,True,1135.5833
2023-07-11,,,,,,,,,,,,,470.61,921.3,2003.65,1,3,7,2023,192,11,28,True,1140.4309
2023-07-12,,,,,,,,,,,,,470.61,920.48,2016.67,2,3,7,2023,193,12,28,True,1140.4309
2023-07-13,,,,,,,,,,,,,470.61,919.66,2032.69,3,3,7,2023,194,13,28,True,1159.0978
2023-07-14,,,,,,,,,,,,,470.61,919.66,2043.07,4,3,7,2023,195,14,28,True,1176.5397
2023-07-15,,,,,,,,,,,,,470.61,919.66,2057.89,5,3,7,2023,196,15,28,True,1176.5397
2023-07-16,,,,,,,,,,,,,470.61,919.66,2060.85,6,3,7,2023,197,16,28,True,1200.9891
2023-07-17,,,,,,,,,,,,,470.09,919.66,2065.3,0,3,7,2023,198,17,29,True,1200.9891
2023-07-18,,,,,,,,,,,,,470.61,936.04,2071.23,1,3,7,2023,199,18,29,True,1219.6775
2023-07-19,,,,,,,,,,,,,471.13,941.78,2072.71,2,3,7,2023,200,19,29,True,1236.7517
2023-07-20,,,,,,,,,,,,,471.65,947.51,2081.6,3,3,7,2023,201,20,29,True,1236.7517
2023-07-21,,,,,,,,,,,,,472.16,962.01,2087.53,4,3,7,2023,202,21,29,True,1246.5225
2023-07-22,,,,,,,,,,,,,472.68,970.77,2091.98,5,3,7,2023,203,22,29,True,1246.5225
2023-07-23,,,,,,,,,,,,,472.68,981.29,2102.35,6,3,7,2023,204,23,29,True,1249.4901
2023-07-24,,,,,,,,,,,,,472.68,997.06,2106.9,0,3,7,2023,205,24,30,True,1250.7347
2023-07-25,,,,,,,,,,,,,472.68,1014.59,2111.44,1,3,7,2023,206,25,30,True,1250.7347
2023-07-26,,,,,,,,,,,,,472.68,1032.12,2117.5,2,3,7,2023,207,26,30,True,1250.7347
2023-07-27,,,,,,,,,,,,,472.68,1040.0,2122.05,3,3,7,2023,208,27,30,True,1250.7347
2023-07-28,,,,,,,,,,,,,479.94,1042.75,2126.6,4,3,7,2023,209,28,30,True,1250.7347
2023-07-29,,,,,,,,,,,,,479.94,1051.16,2132.66,5,3,7,2023,210,29,30,True,1250.7347
2023-07-30,,,,,,,,,,,,,480.45,1059.58,2147.82,6,3,7,2023,211,30,30,True,1250.7347
2023-07-31,,,,,,,,,,,,,480.45,1067.99,2155.4,0,3,7,2023,212,31,31,True,1250.7347
2023-08-01,,,,,,,,,,,,,480.45,1068.93,2161.46,1,3,8,2023,213,1,31,True,1250.7347
2023-08-02,,,,,,,,,,,,,479.94,1075.47,2162.97,2,3,8,2023,214,2,31,True,1250.7347
2023-08-03,,,,,,,,,,,,,479.94,1078.28,2169.04,3,3,8,2023,215,3,31,True,1250.7347
2023-08-04,,,,,,,,,,,,,479.94,1084.82,2179.68,4,3,8,2023,216,4,31,True,1250.7347
2023-08-05,,,,,,,,,,,,,479.94,1096.04,2184.33,5,3,8,2023,217,5,31,True,1250.7347
2023-08-06,,,,,,,,,,,,,482.01,1110.06,2192.07,6,3,8,2023,218,6,31,True,1250.7347
2023-08-07,,,,,,,,,,,,,490.81,1117.54,2198.26,0,3,8,2023,219,7,32,True,1250.7347
2023-08-08,,,,,,,,,,,,,490.81,1122.22,2207.26,1,3,8,2023,220,8,32,True,1250.7347
2023-08-09,,,,,,,,,,,,,492.46,1127.83,2215.3,2,3,8,2023,221,9,32,True,1250.7347
2023-08-10,,,,,,,,,,,,,493.56,1134.37,2223.04,3,3,8,2023,222,10,32,True,1250.7347
2023-08-11,,,,,,,,,,,,,493.56,1140.33,2224.59,4,3,8,2023,223,11,32,True,1250.7347
2023-08-12,,,,,,,,,,,,,493.56,1153.23,2229.24,5,3,8,2023,224,12,32,True,1250.7347
2023-08-13,,,,,,,,,,,,,493.56,1164.14,2240.08,6,3,8,2023,225,13,32,True,1250.7347
2023-08-14,,,,,,,,,,,,,494.11,1167.12,2244.73,0,3,8,2023,226,14,33,True,1250.7347
2023-08-15,,,,,,,,,,,,,496.85,1176.05,2246.27,1,3,8,2023,227,15,33,True,1250.7347
2023-08-16,,,,,,,,,,,,,498.5,1186.97,2254.02,2,3,8,2023,228,16,33,True,1262.7241
2023-08-17,,,,,,,,,,,,,504.0,1196.89,2258.73,3,3,8,2023,229,17,33,True,1195.6873
2023-08-18,,,,,,,,,,,,,531.49,1205.83,2265.05,4,3,8,2023,230,18,33,True,1195.6873
2023-08-19,,,,,,,,,,,,,551.03,1214.76,2265.05,5,3,8,2023,231,19,33,True,1195.6873
2023-08-20,,,,,,,,,,,,,563.9,1222.7,2280.56,6,3,8,2023,232,20,33,True,1195.6873
2023-08-21,,,,,,,,,,,,,579.1,1231.63,2285.6,0,3,8,2023,233,21,34,True,1195.6873
2023-08-22,,,,,,,,,,,,,596.73,1233.61,2285.6,1,3,8,2023,234,22,34,True,1195.6873
2023-08-23,,,,,,,,,,,,,616.69,1237.81,2290.35,2,3,8,2023,235,23,34,True,1191.3818
2023-08-24,,,,,,,,,,,,,637.89,1239.91,2295.09,3,3,8,2023,236,24,34,True,1191.3818
2023-08-25,,,,,,,,,,,,,660.5,1242.01,2301.42,4,3,8,2023,237,25,34,True,1193.0569
2023-08-26,,,,,,,,,,,,,681.73,1244.11,2306.16,5,3,8,2023,238,26,34,True,1193.0569
2023-08-27,,,,,,,,,,,,,693.66,1244.11,2312.48,6,3,8,2023,239,27,34,True,1193.0569
2023-08-28,,,,,,,,,,,,,712.24,1249.36,2318.81,0,3,8,2023,240,28,35,True,1193.0569
2023-08-29,,,,,,,,,,,,,725.6,1256.71,2321.97,1,3,8,2023,241,29,35,True,1193.0569
2023-08-30,,,,,,,,,,,,,748.28,1268.26,2325.13,2,3,8,2023,242,30,35,True,1193.0569
2023-08-31,,,,,,,,,,,,,768.83,1286.11,2336.23,3,3,8,2023,243,31,35,True,1193.0569
2023-09-01,,,,,,,,,,,,,807.26,1299.76,2341.07,4,3,9,2023,244,1,35,True,1193.0569
2023-09-02,,,,,,,,,,,,,840.83,1311.31,2345.9,5,3,9,2023,245,2,35,True,1187.6827
2023-09-03,,,,,,,,,,,,,856.84,1323.91,2349.13,6,3,9,2023,246,3,35,True,1187.6827
2023-09-04,,,,,,,,,,,,,878.71,1336.51,2349.13,0,3,9,2023,247,4,36,True,753.60474
2023-09-05,,,,,,,,,,,,,895.09,1348.59,2345.9,1,3,9,2023,248,5,36,True,768.80554
2023-09-06,,,,,,,,,,,,,919.66,1363.0,2345.9,2,3,9,2023,249,6,36,True,768.80554
2023-09-07,,,,,,,,,,,,,965.51,1381.84,2345.9,3,3,9,2023,250,7,36,True,793.47253
2023-09-08,,,,,,,,,,,,,1004.95,1392.93,2345.9,4,3,9,2023,251,8,36,True,793.47253
2023-09-09,,,,,,,,,,,,,1022.48,1401.79,2349.13,5,3,9,2023,252,9,36,True,793.47253
2023-09-10,,,,,,,,,,,,,1057.71,1412.88,2347.52,6,3,9,2023,253,10,36,True,807.95953
2023-09-11,,,,,,,,,,,,,1073.6,1418.42,2345.9,0,3,9,2023,254,11,37,True,807.95953
2023-09-12,,,,,,,,,,,,,1087.63,1427.29,2342.68,1,3,9,2023,255,12,37,True,844.51086
2023-09-13,,,,,,,,,,,,,1106.32,1433.94,2342.68,2,3,9,2023,256,13,37,True,844.51086
2023-09-14,,,,,,,,,,,,,1115.67,1442.81,2341.07,3,3,9,2023,257,14,37,True,867.5619
2023-09-15,,,,,,,,,,,,,1126.89,1451.79,2339.45,4,3,9,2023,258,15,37,True,876.2606
2023-09-16,,,,,,,,,,,,,1139.33,1459.96,2336.23,5,3,9,2023,259,16,37,True,876.2606
2023-09-17,,,,,,,,,,,,,1151.24,1470.46,2333.03,6,3,9,2023,260,17,37,True,880.1062
2023-09-18,,,,,,,,,,,,,1159.18,1475.12,2333.03,0,3,9,2023,261,18,38,True,896.95374
2023-09-19,,,,,,,,,,,,,1174.07,1484.45,2333.03,1,3,9,2023,262,19,38,True,896.95374
2023-09-20,,,,,,,,,,,,,1202.85,1491.45,2331.45,2,3,9,2023,263,20,38,True,946.8546
2023-09-21,,,,,,,,,,,,,1233.61,1503.12,2331.45,3,3,9,2023,264,21,38,True,946.8546
2023-09-22,,,,,,,,,,,,,1249.36,1512.45,2328.29,4,3,9,2023,265,22,38,True,970.53406
2023-09-23,,,,,,,,,,,,,1265.11,1519.45,2328.29,5,3,9,2023,266,23,38,True,1000.5609
2023-09-24,,,,,,,,,,,,,1274.56,1528.78,2325.13,6,3,9,2023,267,24,38,True,1002.99036
2023-09-25,,,,,,,,,,,,,1286.11,1527.62,2325.13,0,3,9,2023,268,25,39,True,1002.99036
2023-09-26,,,,,,,,,,,,,1296.61,1527.62,2325.13,1,3,9,2023,269,26,39,True,1002.99036
2023-09-27,,,,,,,,,,,,,1308.16,1527.62,2307.74,2,3,9,2023,270,27,39,True,1002.99036
2023-09-28,,,,,,,,,,,,,1322.86,1527.62,2321.97,3,3,9,2023,271,28,39,True,1002.99036
2023-09-29,,,,,,,,,,,,,1338.61,1525.28,2321.97,4,3,9,2023,272,29,39,True,1002.99036
2023-09-30,,,,,,,,,,,,,1349.7,1524.12,2321.97,5,3,9,2023,273,30,39,True,1002.99036
2023-10-01,,,,,,,,,,,,,1360.78,1521.78,2321.97,6,4,10,2023,274,1,39,True,996.2575
2023-10-02,,,,,,,,,,,,,1369.65,1519.45,2318.81,0,4,10,2023,275,2,40,True,1010.0901
2023-10-03,,,,,,,,,,,,,1382.95,1517.12,2318.81,1,4,10,2023,276,3,40,True,1010.0901
2023-10-04,,,,,,,,,,,,,1394.04,1514.79,2317.23,2,4,10,2023,277,4,40,True,1010.0901
2023-10-05,,,,,,,,,,,,,1404.01,1512.45,2317.23,3,4,10,2023,278,5,40,True,1010.0901
2023-10-06,,,,,,,,,,,,,1415.1,1510.12,2317.23,4,4,10,2023,279,6,40,True,1010.0901
2023-10-07,,,,,,,,,,,,,1433.94,1510.12,2315.64,5,4,10,2023,280,7,40,True,1010.0901
2023-10-08,,,,,,,,,,,,,1449.46,1510.12,2315.64,6,4,10,2023,281,8,40,True,1010.0901
2023-10-09,,,,,,,,,,,,,1461.13,1510.12,2314.06,0,4,10,2023,282,9,41,True,1010.0901
2023-10-10,,,,,,,,,,,,,1473.96,1507.79,2312.48,1,4,10,2023,283,10,41,True,1010.0901
2023-10-11,,,,,,,,,,,,,1486.79,1507.79,2312.48,2,4,10,2023,284,11,41,True,1010.0901
2023-10-12,,,,,,,,,,,,,1493.79,1506.62,2310.9,3,4,10,2023,285,12,41,True,1010.0901
2023-10-13,,,,,,,,,,,,,1500.78,1507.79,2310.9,4,4,10,2023,286,13,41,True,1010.0901
2023-10-14,,,,,,,,,,,,,1511.29,1511.29,2309.32,5,4,10,2023,287,14,41,True,1019.5552
2023-10-15,,,,,,,,,,,,,1521.78,1513.62,2304.58,6,4,10,2023,288,15,41,True,1019.5552
2023-10-16,,,,,,,,,,,,,1533.45,1515.95,2304.58,0,4,10,2023,289,16,42,True,1028.0074
2023-10-17,,,,,,,,,,,,,1541.61,1518.28,2301.42,1,4,10,2023,290,17,42,True,1028.0074
2023-10-18,,,,,,,,,,,,,1552.11,1520.62,2299.83,2,4,10,2023,291,18,42,True,1028.0074
2023-10-19,,,,,,,,,,,,,1559.11,1522.95,2298.25,3,4,10,2023,292,19,42,True,1028.0074
2023-10-20,,,,,,,,,,,,,1566.11,1525.28,2298.25,4,4,10,2023,293,20,42,True,1028.0074
2023-10-21,,,,,,,,,,,,,1577.16,1525.28,2295.09,5,4,10,2023,294,21,42,True,1028.0074
2023-10-22,,,,,,,,,,,,,1578.38,1533.45,2287.19,6,4,10,2023,295,22,42,True,1028.0074
2023-10-23,,,,,,,,,,,,,1589.43,1535.78,2284.02,0,4,10,2023,296,23,43,True,1028.0074
2023-10-24,,,,,,,,,,,,,1602.93,1539.28,2280.86,1,4,10,2023,297,24,43,True,1028.0074
2023-10-25,,,,,,,,,,,,,1615.2,1541.61,2274.54,2,4,10,2023,298,25,43,True,1028.0074
2023-10-26,,,,,,,,,,,,,1626.24,1542.78,2271.38,3,4,10,2023,299,26,43,True,1028.0074
2023-10-27,,,,,,,,,,,,,1637.29,1545.11,2266.63,4,4,10,2023,300,27,43,True,1028.0074
2023-10-28,,,,,,,,,,,,,1639.74,1545.11,2261.89,5,4,10,2023,301,28,43,True,1028.0074
